SEP=,
NAME,TYPE,RESOURCE GROUP,LOCATION,SUBSCRIPTION,
"UDrive-CST-2_OsDisk_1_6feaaad9cce346088070e5b0dd8f9327","Disk","udrive-azurevirtualdesktop-cst","UAE North","UDriveRentACar-CSP"
"UDrive-CST-3","Virtual machine","udrive-azurevirtualdesktop-cst","UAE North","UDriveRentACar-CSP"
"UDrive-CST-3-nic","Network interface","udrive-azurevirtualdesktop-cst","UAE North","UDriveRentACar-CSP"
"UDrive-CST-3_OsDisk_1_3fc7d1b875fc4650bf4fe3af333bd198","Disk","udrive-azurevirtualdesktop-cst","UAE North","UDriveRentACar-CSP"
"UDrive-CST-4","Virtual machine","udrive-azurevirtualdesktop-cst","UAE North","UDriveRentACar-CSP"
"UDrive-CST-4-nic","Network interface","udrive-azurevirtualdesktop-cst","UAE North","UDriveRentACar-CSP"
"UDrive-CST-4_OsDisk_1_b301d5d7251f4372a7ca6e5074e66e63","Disk","udrive-azurevirtualdesktop-cst","UAE North","UDriveRentACar-CSP"
"UDrive-CST-5","Virtual machine","udrive-azurevirtualdesktop-cst","UAE North","UDriveRentACar-CSP"
"UDrive-CST-5-nic","Network interface","udrive-azurevirtualdesktop-cst","UAE North","UDriveRentACar-CSP"
"UDrive-CST-5_OsDisk_1_1541507069bf4fde89831d1b653e7296","Disk","udrive-azurevirtualdesktop-cst","UAE North","UDriveRentACar-CSP"
"UDrive-CST-6","Virtual machine","udrive-azurevirtualdesktop-cst","UAE North","UDriveRentACar-CSP"
"UDrive-CST-6-nic","Network interface","udrive-azurevirtualdesktop-cst","UAE North","UDriveRentACar-CSP"
"UDrive-CST-6_OsDisk_1_8803a17eb300477faa7637e75a35b2b7","Disk","udrive-azurevirtualdesktop-cst","UAE North","UDriveRentACar-CSP"
"UDrive-CST-7","Virtual machine","udrive-azurevirtualdesktop-cst","UAE North","UDriveRentACar-CSP"
"UDrive-CST-7-nic","Network interface","udrive-azurevirtualdesktop-cst","UAE North","UDriveRentACar-CSP"
"UDrive-CST-7_OsDisk_1_9a78bfa2f61e4276aa8f5a11fbde38a7","Disk","udrive-azurevirtualdesktop-cst","UAE North","UDriveRentACar-CSP"
"UDrive-CST-8","Virtual machine","udrive-azurevirtualdesktop-cst","UAE North","UDriveRentACar-CSP"
"UDrive-CST-8-nic","Network interface","udrive-azurevirtualdesktop-cst","UAE North","UDriveRentACar-CSP"
"UDrive-CST-8_OsDisk_1_2b7b9b0dbbd445f29ced7f40fa422919","Disk","udrive-azurevirtualdesktop-cst","UAE North","UDriveRentACar-CSP"
"UDrive-CST-9","Virtual machine","udrive-azurevirtualdesktop-cst","UAE North","UDriveRentACar-CSP"
"UDrive-CST-9-nic","Network interface","udrive-azurevirtualdesktop-cst","UAE North","UDriveRentACar-CSP"
